id,product,price,college,Sub Category,rating,stock,is_out_of_stock,views_count,wishlist_count,add_to_cart_count,buyers_count,discount_pct,final_price,price_range_category,stock_range,seasonality,effective_price,cart_to_view_ratio,wishlist_to_view_ratio,image
13,Rulers Kit for engineering,85,engineering,Rulers,2.1,23,0,226,8,20,12,4.9,69.615,Medium,Medium,Winter,80.835,0.088105727,0.035242291,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
14, Cylinder 25ml,35,laboratory  tools,glassware,2.2,15,0,196,7,14,3,16.3,26.775,Low,Medium,Winter,29.295,0.07106599,0.035532995,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745968856/freepik__the-style-is-candid-image-photography-with-natural__12398_kpoazp.png
15,Rulers Kit for engineering,40,engineering,Rulers,3.1,29,0,208,11,30,7,12.2,39.08,Medium,Medium,Autumn,35.12,0.14354067,0.052631579,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
16, Metal Spatula,15,laboratory  tools,chemical tools,2.7,20,0,216,10,21,5,13.9,10.83,Low,Medium,Winter,12.915,0.096774194,0.046082949,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745968856/freepik__the-style-is-candid-image-photography-with-natural__12398_kpoazp.png
17,M&G Premium Quality Palette Of Acrylic Color 6 Colors No.AP976R1,24,arts;architecture;engineering,Colors,3.7,24,0,206,12,19,6,26.4,16.968,Low,Medium,Autumn,17.664,0.09178744,0.057971014,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
18,Artino Pure Turpentine and Pure Oil For Oil Painting - 250 ml,35,arts;architecture;engineering,Oils,2.8,15,0,214,9,18,8,5.6,26.25,Low,Medium,Spring,33.04,0.08372093,0.041860465,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
19,Slide box,25,faculty of agriculture,microscopy supplies,2.4,19,0,212,11,21,4,27.3,18.975,Low,Medium,Winter,18.175,0.098591549,0.051643192,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745972357/10306_lm5cr5.jpg
20,Artino Pure Turpentine and Pure Oil For Oil Painting - 125 ml,21,arts;architecture;engineering,Oils,4.6,15,0,210,9,22,7,25.7,19.761,Low,Medium,Spring,15.603,0.104265403,0.042654028,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
21,Rulers Kit for arts;architecture;engineering,14.5,arts;architecture;engineering,Rulers,3.3,22,0,206,8,18,5,27.1,12.093,Low,Medium,Winter,10.5705,0.086956522,0.038647343,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
22,M&G High Quality Acrylic Pen Marker 2.0 mm - Different Colors,27,arts;architecture;engineering,Colors,3.6,14,0,200,12,20,8,19.2,25.623,Low,Medium,Summer,21.816,0.099502488,0.059701493,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
23,Rulers Kit for engineering,80,engineering,Rulers,2.4,12,0,216,13,18,6,25.9,71.52,Medium,Medium,Autumn,59.28,0.082949309,0.059907834,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
24,Rulers Kit for engineering,20,engineering,Rulers,3.1,23,0,201,9,20,8,29.7,16.3,Low,Medium,Summer,14.06,0.099009901,0.044554455,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
25,Rulers Kit for engineering,10,engineering,Rulers,3.6,21,0,208,11,24,10,14.1,9.15,Low,Medium,Autumn,8.59,0.114832536,0.052631579,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
26,KeepSmiling Art Works Artist Canvas 280 gm Size 40*50 cm,45,arts;architecture;engineering,Canvas,2.6,21,0,199,7,14,7,25.9,33.345,Medium,Medium,Spring,33.345,0.07,0.035,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
27,Rulers Kit for engineering,30,engineering,Rulers,3.8,16,0,197,12,20,12,27.1,25.17,Low,Medium,Spring,21.87,0.101010101,0.060606061,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
28,edeta solution ,150,faculty of dentistry,chemical tools,3,22,0,210,9,20,7,9.3,124.5,High,Medium,Spring,136.05,0.09478673,0.042654028,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745969706/dental-tools-equipment-white-background_rdzkhn.jpg
29,Rulers Kit for arts;architecture;engineering,47.75,arts;architecture;engineering,Rulers,3.3,17,0,206,7,15,5,13.3,33.75925,Medium,Medium,Spring,41.39925,0.072463768,0.033816425,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
30,retraction cord(1-0-00-000) ,105,faculty of dentistry,chemical tools,3,16,0,198,15,27,6,17.2,93.975,High,Medium,Spring,86.94,0.135678392,0.075376884,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745969706/dental-tools-equipment-white-background_rdzkhn.jpg
31,Rulers Kit for engineering,700,engineering,Rulers,4.9,28,0,176,8,15,2,10.5,492.1,High,Medium,Winter,626.5,0.084745763,0.04519774,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
32,Drawing Sketch Kit for arts;architecture;engineering,90,arts;architecture;engineering,Drawing Sketch,3.5,22,0,202,11,21,6,9.7,88.02,High,Medium,Autumn,81.27,0.103448276,0.054187192,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
33,gloves,2,faculty of bio technology,safety equipment,2.7,20,0,197,12,18,6,11.4,1.856,Low,Medium,Winter,1.772,0.090909091,0.060606061,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745969552/Pngtree_microscope_with_lab_glassware_science_17031040_cawpip.png
34,Art Supplies Kit for arts,55,arts,Art Supplies,4.1,27,0,191,11,16,4,12.7,51.425,Medium,Medium,Autumn,48.015,0.083333333,0.057291667,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745969048/wallpaperflare.com_wallpaper_r1l0cl.jpg
35,Rotring 120 cm Premium Quality Plastic Letter T Ruler,25,arts;architecture;engineering,Rulers,2.6,13,0,198,10,20,5,7.6,23.8,Low,Medium,Autumn,23.1,0.100502513,0.050251256,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
36,No.1 Colored Spray Paint - 400 ml,26,arts;architecture;engineering,Art Supplies,3.7,15,0,189,8,21,7,14.2,22.542,Low,High,Summer,22.308,0.110526316,0.042105263,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
37,Bomega 6 ml Glass Colors Set No.B9106GL - 12 Colors,357,arts;architecture;engineering,Colors,2,15,0,196,14,23,5,23.4,300.237,High,Medium,Spring,273.462,0.116751269,0.07106599,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
38,Pencils And Pens Kit for engineering,60,engineering,Pencils and Pens,2.5,22,0,196,6,21,6,18.7,53.4,Medium,Medium,Summer,48.78,0.106598985,0.030456853,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
39,tube holder,10,chemical tools,chemical tools,3.6,18,0,183,13,18,6,11.4,9.22,Low,Medium,Spring,8.86,0.097826087,0.070652174,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745969883/freepik__the-style-is-candid-image-photography-with-natural__12399_ngrodu.png
40,K-MAX Drawing Design White Canson Paper Sketch 35*25 - 12 Sheets,78,arts;architecture;engineering,Drawing Sketch,4.1,16,0,199,12,23,10,4.7,70.824,Medium,Medium,Autumn,74.334,0.115,0.06,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
41,KeepSmiling Brush Selection Oval | Flat High Quality Brushes Set No.A6067Z - 6 Pcs,275,arts;architecture;engineering,Brushes,3.6,15,0,198,10,20,5,24.7,267.3,High,Medium,Summer,207.075,0.100502513,0.050251256,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
42,Pencils And Pens Kit for engineering,70,engineering,Pencils and Pens,3.4,19,0,182,8,26,6,15.3,56.7,Medium,Medium,Spring,59.29,0.142076503,0.043715847,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
43,Matloub Wooden Carving Set - 5 Pcs,47.5,arts;architecture;engineering,Sculpture,3.3,24,0,217,7,22,5,29.1,33.8675,Medium,Medium,Winter,33.6775,0.100917431,0.032110092,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
44,Elecrticity Plastic Drawing Template No.8125,32.25,arts;architecture;engineering,Templates,2.4,17,0,207,10,19,5,7.6,28.3155,Low,Low,Spring,29.799,0.091346154,0.048076923,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
45,mirrors ,40,faculty of dentistry,chemical tools,3,23,0,242,15,23,6,5.3,30.24,Medium,Medium,Winter,37.88,0.094650206,0.061728395,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745969706/dental-tools-equipment-white-background_rdzkhn.jpg
46,Art Rangers Acrylic Marker 60 ml No.86060,67,arts;architecture;engineering,Colors,3.2,15,0,215,13,21,8,0.2,66.732,Medium,Medium,Spring,66.866,0.097222222,0.060185185,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
47,Talens Art Creation 12 ml Tempra Gouache Colors Set No.9021612 - 12 Colors,219,arts;architecture;engineering,Colors,4.3,20,0,196,11,17,5,2.5,202.794,High,Medium,Spring,213.525,0.086294416,0.055837563,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
48,M&G 30 ml Acrylic Color Set No.APLN6597 - 6 Colors,268,arts;architecture;engineering,Colors,3.8,24,0,194,18,15,5,11.6,221.1,High,Medium,Autumn,236.912,0.076923077,0.092307692,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
49,Cleaning Tools Kit for arts,162,arts,cleaning tools,2.2,22,0,194,16,19,6,5.9,139.158,High,Medium,Spring,152.442,0.097435897,0.082051282,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745969048/wallpaperflare.com_wallpaper_r1l0cl.jpg
50,Matloub Non-Air Drying Super Modelling Clay No.MK500 - 400 gm,35,arts;architecture;engineering,Art Supplies,3.7,14,0,211,10,27,8,1.1,28.21,Low,Medium,Autumn,34.615,0.127358491,0.047169811,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
51,Templates Kit for engineering,20,engineering,Templates,3.2,20,0,176,6,15,7,6.8,16.38,Low,Medium,Winter,18.64,0.084745763,0.033898305,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
52,Slide box,25,faculty of agriculture,microscopy supplies,3,19,0,199,10,18,7,21.9,18.975,Low,Medium,Winter,19.525,0.09,0.05,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745972357/10306_lm5cr5.jpg
53,Pencils And Pens Kit for engineering,80,engineering,Pencils and Pens,4,17,0,190,13,22,5,22.1,63.92,Medium,Medium,Autumn,62.32,0.115183246,0.068062827,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
54,Uni Pin Fine Line Pigment Ink Pen with Different Sizes,41.6,arts;architecture;engineering,Pencils and Pens,4.3,19,0,194,9,14,4,4.5,32.6144,Medium,Medium,Summer,39.728,0.071794872,0.046153846,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
55,Carioca Premium Quality Water Color Acquarell Set with a Brush No.42400 - 12 Color,912,arts;architecture;engineering,Colors,4.2,25,0,195,8,23,6,28.1,787.056,High,Medium,Autumn,655.728,0.117346939,0.040816327,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
56,cover,25,faculty of bio technology,microscopy supplies,2.9,22,0,210,12,23,8,4.8,23.75,Low,Medium,Spring,23.8,0.109004739,0.056872038,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745969552/Pngtree_microscope_with_lab_glassware_science_17031040_cawpip.png
57,Carioca Tempera Gouache Color Jar 500 ml No.40427,139.5,arts;architecture;engineering,Colors,3.3,21,0,207,11,21,5,2.7,124.2945,High,Medium,Winter,135.7335,0.100961538,0.052884615,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
58,etch ,600,faculty of dentistry,chemical tools,3.7,23,0,219,17,18,6,4.9,505.2,High,Medium,Autumn,570.6,0.081818182,0.077272727,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745969706/dental-tools-equipment-white-background_rdzkhn.jpg
59,Rulers Kit for architecture;engineering - arts,62,architecture;engineering - arts,Rulers,4.2,16,0,183,9,13,3,4.2,55.304,Medium,Medium,Spring,59.396,0.070652174,0.048913043,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
60,Pencils And Pens Kit for engineering,80,engineering,Pencils and Pens,3.1,20,0,200,16,17,3,19,63.36,Medium,Medium,Autumn,64.8,0.084577114,0.07960199,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
61,Standard Wick Pencil No.8000,160,arts;architecture;engineering,Pencils and Pens,3.4,17,0,182,7,21,2,4.7,154.08,High,Medium,Winter,152.48,0.114754098,0.038251366,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
62,Drawing Sketch Kit for arts;architecture;engineering,72.5,arts;architecture;engineering,Drawing Sketch,2.7,17,0,197,13,26,14,19,63.7275,Medium,Medium,Spring,58.725,0.131313131,0.065656566,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
63,flame network,15,faculty of veterinary medicine,chemical tools,2.6,19,0,209,9,24,5,8.3,12.705,Low,Medium,Spring,13.755,0.114285714,0.042857143,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745970337/fvoz_14he_230404_d83dpp.jpg
64,Cleaning Tools Kit for arts,162,arts,cleaning tools,4.1,14,0,212,13,21,8,7.5,140.292,High,Medium,Summer,149.85,0.098591549,0.061032864,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745969048/wallpaperflare.com_wallpaper_r1l0cl.jpg
65,M&G High Quality Acrylic Pen Marker 2.0 mm - Different Colors,27,arts;architecture;engineering,Colors,4.5,14,0,235,17,31,12,26.9,20.844,Low,Medium,Autumn,19.737,0.131355932,0.072033898,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
66,Rulers Kit for engineering,60,engineering,Rulers,3.4,28,0,209,11,25,6,6.4,47.22,Medium,Medium,Winter,56.16,0.119047619,0.052380952,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
67,Sheloi Artist Series Gouache Colors Set 12 ml No.24010 - 24 Colors,149,arts;architecture;engineering,Colors,4.3,24,0,208,12,22,6,25.9,126.65,High,Medium,Winter,110.409,0.105263158,0.057416268,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
68,Rulers Kit for engineering,365,engineering,Rulers,3.8,18,0,181,14,11,5,9.1,298.205,High,Medium,Summer,331.785,0.06043956,0.076923077,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
69, Beaker 250m,5,laboratory  tools,glassware,3,18,0,201,9,18,6,29.7,4.485,Low,Medium,Autumn,3.515,0.089108911,0.044554455,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745968856/freepik__the-style-is-candid-image-photography-with-natural__12398_kpoazp.png
70,Rulers Kit for engineering,650,engineering,Rulers,3.8,18,0,178,9,16,4,29.4,636.35,High,Medium,Spring,458.9,0.089385475,0.05027933,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
71,Rulers Kit for engineering,25,engineering,Rulers,4.7,17,0,205,14,19,9,24.8,24.65,Low,Medium,Summer,18.8,0.09223301,0.067961165,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
72,Rulers Kit for engineering,150,engineering,Rulers,3.5,28,0,213,12,20,5,26,117.15,High,Medium,Autumn,111,0.093457944,0.056074766,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
73,K-MAX Drawing Design White Canson Paper Sketch 35*50 - 12 Sheets,45,arts;architecture;engineering,Drawing Sketch,4.7,15,0,196,13,26,6,24.7,42.3,Medium,Medium,Winter,33.885,0.131979695,0.065989848,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
74,M&G High Quality Acrylic Pen Marker 2.0 mm - Different Colors,27,arts;architecture;engineering,Colors,1.5,25,0,223,12,25,5,18.9,20.142,Low,High,Spring,21.897,0.111607143,0.053571429,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
75,baker 250,50,faculty of bio technology,chemical tools,4.1,19,0,192,11,21,7,24.3,41.95,Medium,Medium,Autumn,37.85,0.10880829,0.056994819,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745969552/Pngtree_microscope_with_lab_glassware_science_17031040_cawpip.png
76,Acrylic bur,175,faculty of dentistry,chemical tools,3.6,19,0,193,4,18,2,18.8,131.95,High,Medium,Spring,142.1,0.092783505,0.020618557,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745969706/dental-tools-equipment-white-background_rdzkhn.jpg
77,5 Pyrex Tubes,10,laboratory  tools,chemical tools,3.3,12,0,215,9,20,8,25.3,9.6,Low,Medium,Summer,7.47,0.092592593,0.041666667,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745968856/freepik__the-style-is-candid-image-photography-with-natural__12398_kpoazp.png
78,KeepSmiling 2 mm Metallic Color Pen Set No.8151 - 10 Pcs,109,arts;architecture;engineering,Colors,3.6,16,0,171,11,13,3,28.1,100.28,High,Medium,Summer,78.371,0.075581395,0.063953488,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
79,M&G Premium Quality Palette Of Acrylic Color 6 Colors No.AP976R1,24,arts;architecture;engineering,Colors,2,26,0,202,9,20,5,22.6,16.968,Low,Medium,Autumn,18.576,0.098522167,0.044334975,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
80,Pencils And Pens Kit for engineering,80,engineering,Pencils and Pens,3.3,18,0,205,9,17,7,28.9,63.36,Medium,Medium,Autumn,56.88,0.082524272,0.04368932,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
81,regular tubes,3,faculty of veterinary medicine,chemical tools,3.8,24,0,216,16,20,8,13.4,2.661,Low,Medium,Autumn,2.598,0.092165899,0.073732719,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745970337/fvoz_14he_230404_d83dpp.jpg
82,Rulers Kit for engineering,12,engineering,Rulers,4.6,20,0,203,10,16,4,27.8,10.128,Low,Medium,Autumn,8.664,0.078431373,0.049019608,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
83,Primo Tempra Fine Poster Paint 12 ml No.4421T5C - 5 Pcs,150,arts;architecture;engineering,Colors,3.1,18,0,200,7,18,6,6.8,136.95,High,Medium,Summer,139.8,0.089552239,0.034825871,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
84,Funnel,350,laboratory  tools,liquid handling,2.9,20,0,182,9,12,4,0.9,293.3,High,Low,Autumn,346.85,0.06557377,0.049180328,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745968856/freepik__the-style-is-candid-image-photography-with-natural__12398_kpoazp.png
85,M&G High Quality Acrylic Pen Marker 2.0 mm - Different Colors,27,arts;architecture;engineering,Colors,3.1,20,0,229,11,12,4,3.8,25.758,Low,Medium,Autumn,25.974,0.052173913,0.047826087,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
86,Uni Pin Fine Line Pigment Ink Pen with Different Sizes,41.6,arts;architecture;engineering,Pencils and Pens,4.2,18,0,194,17,24,7,4.8,38.9792,Medium,Medium,Summer,39.6032,0.123076923,0.087179487,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
87,Rulers Kit for engineering,200,engineering,Rulers,3.7,21,0,206,12,22,9,24.7,177.8,High,Medium,Winter,150.6,0.106280193,0.057971014,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
88,K-MAX Artist Brushes Plastic Carving Tools Set No.2206 - 8 Pcs,44,arts;architecture;engineering,Sculpture,3.1,18,0,202,10,21,8,12,33.704,Medium,Low,Winter,38.72,0.103448276,0.049261084,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
89,Templates Kit for engineering,80,engineering,Templates,3.9,31,0,219,10,22,9,7,61.04,Medium,Medium,Summer,74.4,0.1,0.045454545,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
90,High Qaulity Single Painting Brush - 2 cm,82,arts;architecture;engineering,Brushes,3.6,22,0,206,15,23,5,24.4,63.96,Medium,Medium,Winter,61.992,0.111111111,0.072463768,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
91,MBGI-WAP Basics 12 ml Oil Colors Set No.EO1212C-2 - 12 Colors,72,arts;architecture;engineering,Colors,4.2,21,0,195,11,22,5,6.1,63.72,Medium,Medium,Winter,67.608,0.112244898,0.056122449,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
92,metal diagnostic set ,40,faculty of dentistry,chemical tools,3,21,0,199,9,26,5,2.3,34.08,Medium,Medium,Autumn,39.08,0.13,0.045,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745969706/dental-tools-equipment-white-background_rdzkhn.jpg
93,surgical scissor ,35,faculty of dentistry,cleaning supplies,3.3,14,0,196,9,17,7,14,28.84,Low,Medium,Summer,30.1,0.086294416,0.045685279,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745969706/dental-tools-equipment-white-background_rdzkhn.jpg
94,Rulers Kit for arts;architecture;engineering,39.75,arts;architecture;engineering,Rulers,3.2,18,0,198,8,23,4,2.1,28.58025,Low,Medium,Spring,38.91525,0.115577889,0.040201005,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
95,High Quality Touch Marker Pens Double Sided No.KL250 - 24 Pcs,45,arts;architecture;engineering,Colors,2.4,30,0,177,14,28,6,8.4,43.02,Medium,Medium,Summer,41.22,0.157303371,0.078651685,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
96,Circlular Canvas 280 gm Size 20 cm,230,arts;architecture;engineering,Canvas,3.7,22,0,192,11,12,6,21,201.25,High,Medium,Winter,181.7,0.062176166,0.056994819,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
97,Rulers Kit for architecture;engineering - arts,70,architecture;engineering - arts,Rulers,3.7,18,0,187,8,17,3,11.2,59.5,Medium,Medium,Winter,62.16,0.090425532,0.042553191,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
98,Drawing Sketch Kit for engineering,110,engineering,Drawing Sketch,3.5,20,0,188,7,18,3,2.6,98.78,High,Medium,Summer,107.14,0.095238095,0.037037037,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
